DateStamp,TimeStamp,T1_A006_16457440_19045555
06/08/2022,12:06:10,73.2,39.8
06/08/2022,12:06:20,73.2,39.7
06/08/2022,12:07:03,73.3,39.3
06/08/2022,12:08:04,73.2,38.9
06/08/2022,12:09:04,73.1,38.6
06/08/2022,12:10:04,73.0,38.3
06/08/2022,12:11:04,72.9,37.8
06/08/2022,12:12:04,72.8,37.6
06/08/2022,12:13:04,72.6,37.6
06/08/2022,12:14:04,72.4,37.7
06/08/2022,12:15:04,72.3,37.7
06/08/2022,12:16:04,72.3,40.1
06/08/2022,12:17:04,72.2,40.6
06/08/2022,12:18:04,72.3,41.7
06/08/2022,12:19:04,72.3,42.2
06/08/2022,12:20:04,72.2,42.8
06/08/2022,12:21:04,72.3,43.0
06/08/2022,12:22:04,72.2,43.3
06/08/2022,12:23:04,72.3,43.4
06/08/2022,12:24:04,72.4,43.3
06/08/2022,12:25:04,72.4,42.8
06/08/2022,12:26:04,72.5,42.5
06/08/2022,12:27:04,72.5,42.4
06/08/2022,12:28:04,72.6,42.3
06/08/2022,12:29:04,72.6,42.2
06/08/2022,12:30:04,72.6,42.2
06/08/2022,12:31:04,72.6,42.0
06/08/2022,12:32:04,72.8,42.0
06/08/2022,12:33:04,72.7,41.8
06/08/2022,12:34:04,72.7,41.8
06/08/2022,12:35:04,72.7,41.7
06/08/2022,12:36:04,72.8,41.8
06/08/2022,12:37:04,72.8,41.7
06/08/2022,12:38:04,72.8,41.1
06/08/2022,12:39:04,72.8,40.9
06/08/2022,12:40:04,72.7,40.8
06/08/2022,12:41:04,72.7,40.8
06/08/2022,12:42:04,72.6,40.9
06/08/2022,12:43:04,72.7,42.1
06/08/2022,12:44:04,73.3,41.9
06/08/2022,12:45:04,73.2,40.6
06/08/2022,12:46:04,73.1,40.5
06/08/2022,12:47:04,73.1,40.4
06/08/2022,12:48:04,73.0,40.4
06/08/2022,12:49:04,73.0,40.3
06/08/2022,12:50:04,73.0,40.3
06/08/2022,12:51:04,73.0,40.2
06/08/2022,12:52:04,73.0,40.2
06/08/2022,12:53:04,73.0,40.3
06/08/2022,12:54:04,73.0,40.2
06/08/2022,12:55:04,73.0,40.0
06/08/2022,12:56:04,73.1,40.0
06/08/2022,12:57:04,73.0,40.0
06/08/2022,12:58:04,73.0,40.0
06/08/2022,12:59:04,73.0,39.9
06/08/2022,13:00:04,72.9,39.8
06/08/2022,13:01:04,72.8,39.7
06/08/2022,13:02:04,72.7,39.8
06/08/2022,13:03:04,72.6,39.8
06/08/2022,13:04:04,72.6,39.8
06/08/2022,13:05:04,72.7,39.8
06/08/2022,13:06:04,72.7,39.9
06/08/2022,13:07:04,72.8,40.2
06/08/2022,13:08:04,72.8,40.1
06/08/2022,13:09:04,72.8,40.1
06/08/2022,13:10:04,72.9,40.2
06/08/2022,13:11:04,72.9,40.3
06/08/2022,13:12:04,73.0,40.4
06/08/2022,13:13:04,73.0,40.4
06/08/2022,13:14:04,73.0,40.3
06/08/2022,13:15:04,73.1,41.3
06/08/2022,13:16:04,73.1,40.1
